,cycle,p.DCTL1.prog,p.DCTL1.death,p.ABL1.prog,p.ABL1.death,p.DCTL2.prog,p.DCTL2.death,p.ABL2.prog,p.ABL2.death,p.PD.death,cif.ABL2.prog,cif.ABL2.death,cif.DCTL2.prog,cif.DCTL2.death,cif.PD.death
41,41,0,0.004207448,0.004113747,0.003312123,0.023093137,0.003645314,0.016594206,0,0.026147186,0.565295381,0.140895999,0.749386347,0.294173652,0.833816438
42,42,0.013613686,0.004293374,0,0,0.022170454,0.003431356,0.016396765,0,0.027777778,0.572423131,0.140895999,0.754942565,0.296595594,0.838432648
43,43,0.021050304,0.00876871,0.038151826,0,0.021264553,0.003229263,0.016198421,0,0.059525552,0.579349201,0.140895999,0.760153602,0.298867071,0.848050034
44,44,0.007167649,0,0.005103037,0.004022666,0.020376789,0.003038456,0.01599925,0,0.049462973,0.586079299,0.140895999,0.765040902,0.300997432,0.855565931
45,45,0.007416288,0,0.02246745,0,0.019508393,0.002858376,0.01579933,0,0,0.592618969,0.140895999,0.769624576,0.302995444,0.855565931
46,46,0.01544092,0.004672369,0,0,0.018660464,0.002688483,0.015598738,0,0,0.598973599,0.140895999,0.773923488,0.304869329,0.855565931
47,47,0.007879423,0.004739878,0,0,0.017833967,0.002528257,0.015397555,0,0.020408163,0.605148425,0.140895999,0.77795533,0.306626798,0.858513565
48,48,0.016545835,0,0.031897061,0,0.017029734,0.002377199,0.015195861,0,0.066734896,0.611148535,0.140895999,0.781736691,0.308275084,0.867955648
49,49,0.008502556,0,0,0.006012843,0.016248464,0.002234827,0.014993738,0,0.025,0.616978872,0.140895999,0.785283135,0.30982097,0.871256757
50,50,0.026797372,0,0,0,0.015490724,0.002100683,0.014791267,0,0.029411765,0.62264424,0.140895999,0.788609255,0.311270817,0.875043323
51,51,0,0,0.021293499,0.008047404,0.014756954,0.001974324,0.014588532,0,0,0.628149306,0.140895999,0.791728738,0.312630592,0.875043323
52,52,0.019460536,0.005501731,0,0,0.014047471,0.001855332,0.014385615,0.000940092,0,0.633498608,0.141703636,0.794654423,0.31390589,0.875043323
53,53,0.010252898,0,0,0,0.013362477,0.001743303,0.014182601,0.001354658,0.04,0.63869655,0.142866334,0.797398348,0.31510196,0.88004159
54,54,0,0.005752509,0.030561519,0,0.01270206,0.001637855,0.013979571,0.001318113,0,0.643747418,0.143996133,0.799971806,0.316223724,0.88004159
55,55,0,0,0,0,0.012066206,0.001538623,0.013776611,0.001282508,0.089026915,0.648655371,0.145093965,0.802385388,0.317275798,0.890721117
56,56,0,0,0,0,0.011454806,0.001445259,0.013573804,0.00124782,0.1,0.653424454,0.146160733,0.804649025,0.318262512,0.901649005
